Station_name,Station_address,Type_oil,Price,City,Full_address,Coords,LAT,LNG
Sociedad Villanueva Jara Ltda,Los Carreras 1420,Bencina 97,1307,Los Ángeles,"Los Carreras 1420, Los Ángeles, Chile","(-37.48816, -72.34239)",-37.48816,-72.34239
Sociedad Villanueva Jara Ltda,Los Carreras 1420,Diesel,1058,Los Ángeles,"Los Carreras 1420, Los Ángeles, Chile","(-37.48816, -72.34239)",-37.48816,-72.34239
ESTABLECIMIENTOS GASTRONOMICOS SUR LTDA,AV. LAS INDUSTRIAS 9025,Bencina 93,1228,Los Ángeles,"AV. LAS INDUSTRIAS 9025, Los Ángeles, Chile","(-37.4655, -72.32598)",-37.4655,-72.32598
ESTABLECIMIENTOS GASTRONOMICOS SUR LTDA,AV. LAS INDUSTRIAS 9025,Bencina 95,1254,Los Ángeles,"AV. LAS INDUSTRIAS 9025, Los Ángeles, Chile","(-37.4655, -72.32598)",-37.4655,-72.32598
ESTABLECIMIENTOS GASTRONOMICOS SUR LTDA,AV. LAS INDUSTRIAS 9025,Bencina 97,1278,Los Ángeles,"AV. LAS INDUSTRIAS 9025, Los Ángeles, Chile","(-37.4655, -72.32598)",-37.4655,-72.32598
ESTABLECIMIENTOS GASTRONOMICOS SUR LTDA,AV. LAS INDUSTRIAS 9025,Diesel,1039,Los Ángeles,"AV. LAS INDUSTRIAS 9025, Los Ángeles, Chile","(-37.4655, -72.32598)",-37.4655,-72.32598
DISTRIBUIDORA DE COMBUSTIBLES CYC SPA,OHiggins 100,Bencina 93,1220,Los Ángeles,"OHiggins 100, Los Ángeles, Chile","(-37.47326, -72.35084)",-37.47326,-72.35084
DISTRIBUIDORA DE COMBUSTIBLES CYC SPA,OHiggins 100,Bencina 95,1245,Los Ángeles,"OHiggins 100, Los Ángeles, Chile","(-37.47326, -72.35084)",-37.47326,-72.35084
DISTRIBUIDORA DE COMBUSTIBLES CYC SPA,OHiggins 100,Bencina 97,1268,Los Ángeles,"OHiggins 100, Los Ángeles, Chile","(-37.47326, -72.35084)",-37.47326,-72.35084
DISTRIBUIDORA DE COMBUSTIBLES CYC SPA,OHiggins 100,Diesel,1034,Los Ángeles,"OHiggins 100, Los Ángeles, Chile","(-37.47326, -72.35084)",-37.47326,-72.35084
RAMON ENRIQUE RUIZ JARA,Ricardo Vicuña Blanco Encalada 790,Bencina 93,1222,Los Ángeles,"Ricardo Vicuña Blanco Encalada 790, Los Ángeles, Chile","(-37.48203, -72.35815)",-37.48203,-72.35815
RAMON ENRIQUE RUIZ JARA,Ricardo Vicuña Blanco Encalada 790,Bencina 95,1248,Los Ángeles,"Ricardo Vicuña Blanco Encalada 790, Los Ángeles, Chile","(-37.48203, -72.35815)",-37.48203,-72.35815
RAMON ENRIQUE RUIZ JARA,Ricardo Vicuña Blanco Encalada 790,Bencina 97,1271,Los Ángeles,"Ricardo Vicuña Blanco Encalada 790, Los Ángeles, Chile","(-37.48203, -72.35815)",-37.48203,-72.35815
RAMON ENRIQUE RUIZ JARA,Ricardo Vicuña Blanco Encalada 790,Diesel,1037,Los Ángeles,"Ricardo Vicuña Blanco Encalada 790, Los Ángeles, Chile","(-37.48203, -72.35815)",-37.48203,-72.35815
